user_id,is_rumor,is_source_tweet,hashtags_count,retweet_count,favorite_count,mentions_count,user.tweets_count,user.verified,user.followers_count,user.friends_count,sentimentscore,intensityscore
318358387,1,0,0,0,0,1,189125,0,2843,1168,0,5.2875E-06
283843715,1,0,0,0,0,2,29673,0,741,1367,0,3.3701E-05
284150833,1,0,0,0,0,2,66611,0,1722,1986,0.1225,1.5013E-05
284033773,1,0,0,0.5,1,1.5,1152,0,183,142,0.1,8.6806E-04
284006171,1,0,0,1,0.6,1,7714.6,0,395.4,790,-0.425,1.2962E-04
284002545,1,0,1,0,0,1,52006,0,1075,654,0,1.9229E-05
283959988,1,0,0,0,0.5,1.5,2094,0,63,181,-0.126215277777778,4.7755E-04
283938393,1,0,0,0,0,2,514,0,25,99,0,1.9455E-03
283892304,1,0,0,1,0,3,735,0,26,47,0,1.3605E-03
283869205,1,0,0,0,0,1,1741,0,371,1097,0.325,5.7438E-04
283776030,1,0,0,0,0,2,20611,0,158,470,0,4.8518E-05
285505398,1,0,1,0,0.5,1,3447.5,0,59,220,-0.666666666666667,2.9007E-04
283763415,1,0,0,0,0,1.5,44,0,8,49,-0.0625,2.2727E-02
283665372,1,0,0,0,0,2,5571,0,305,780,0,1.7950E-04
283603981,1,0,0,0,0,2,1945,0,145,569,0,5.1414E-04
283517156,1,0,0,0,0,1,91,0,10,79,0,1.0989E-02
283388524,1,0,0,0,0,2,23811.6666666667,0,1141,149.666666666667,0.102380952380952,4.1996E-05
283377530,1,0,1,2,3,1,675,0,467,453,0.1,1.4815E-03
283311144,1,0,2,0,0,1,5537,0,316,245,0,1.8060E-04
283278170,1,0,0,0,0,1,7263,0,2096,1981,0.8,1.3768E-04
284320807,1,0,1.25,0.75,0.5,3,11815,0,802,1411,-0.171875,8.4638E-05
284383121,1,0,0,0,0.5,1.5,4999,0,720,1460,0.0499999999999999,2.0004E-04
284420878,1,0,0,0,0,1,17,0,14,114,0.25,5.8824E-02
284579333,1,0,0,0,0,1,876,0,50,63,0.0761904761904761,1.1416E-03
285482887,1,0,1,0,0,2,9091,0,601,350,0,1.1000E-04
285424497,1,0,0,0,0,1,3486,0,66,984,0.1,2.8686E-04
285383650,1,1,3,517,369,0,442,0,58,153,0,2.2624E-03
285242936,1,0,0,0,0,2,8508,0,928,501,0.25,1.1754E-04
285219783,1,0,0,0,0,1,951,0,50,114,0,1.0515E-03
285175425,1,0,0,0,0,1,6774,0,1355,648,0,1.4762E-04
285139669,1,0,0,0,2,2,1839,0,145,816,-0.0785714285714285,5.4377E-04
285089704,1,0,0,0.2,0.2,2,390,0,192.6,345.6,0.095,2.5641E-03
285048452,1,0,0,0,0,3,4413.5,0,174.5,322.5,0,2.2658E-04
285027053,1,0,0,0,1,2,9665,0,15061,3340,0.225,1.0347E-04
284828705,1,0,1,0,0,1,78576,0,1289,870,-0.2,1.2727E-05
284804728,1,0,1,0,0,1,985,0,224,400,-0.65,1.0152E-03
284744163,1,0,0,0,0,1,8689,0,187,450,0.1625,1.1509E-04
284725682,1,0,1,0,1,1,578,0,132,298,0,1.7301E-03
284680316,1,0,0,0,1,2,668,0,68,230,-0.8,1.4970E-03
284635039,1,0,0,1,1,1,6719,0,694,180,-0.4,1.4883E-04
284624465,1,0,0,1,0.857142857142857,1.28571428571429,3912.28571428571,0,106,712,0.232397959183673,2.5561E-04
282969278,1,0,0,1,0,1,1031,0,47,20,0,9.6993E-04
282915121,1,0,0.5,0,1,2.5,5576,0,170,284,0,1.7934E-04
282854342,1,0,0,0.333333333333333,0.333333333333333,3.66666666666667,81802,0,1439,1979,0,1.2225E-05
280991207,1,0,0,4,1.5,1.5,1582,0,126,218.5,0.35,6.3211E-04
280915300,1,0,1,0,0,1,1019,0,32,75,0.9,9.8135E-04
280765317,1,0,0,0,0,1,34536,0,351,244,0,2.8955E-05
280587878,1,0,0,0,0,2,8338,0,164,421,0,1.1993E-04
280529380,1,0,0,0,0,1,50295,0,1024,2001,-0.208333333333333,1.9883E-05
280482995,1,0,0,0,1,2,4158,0,243,221,0.5,2.4050E-04
280473066,1,0,2,0,0,1,204892,0,6970,121,-0.1,4.8806E-06
280266544,1,0,0,0,0,1.75,374,0,120,396,-0.175,2.6738E-03
280228828,1,0,1,2,4,1,3719,0,194,138,0,2.6889E-04
280186883,1,0,0,0,0,1,3512,0,67,192,0.278571428571429,2.8474E-04
279886159,1,0,1,0,0,1,47553,0,2714,882,-0.4,2.1029E-05
279778767,1,0,3,2,0,1,96750,0,1177,175,0,1.0336E-05
279694818,1,0,0,0,0,2,3857,0,202,865,0.512121212121212,2.5927E-04
279643305,1,0,2,0,0,1,1437,0,165,1086,0.8,6.9589E-04
279534015,1,1,1,148,51,1,2670,1,1573,281,0.0333333333333333,3.7453E-04
279526659,1,0,0,0,0,3,6958,0,189,788,0,1.4372E-04
279512802,1,0,0,0,1,2,1902,0,465,273,0,5.2576E-04
279458880,1,0,0,0,0,1,8783,0,670,2001,-0.5,1.1386E-04
280922341,1,0,0,0,1,3,17914,0,277,421,-0.7,5.5822E-05
281001355,1,0,2,3,2,1,3903,0,1938,303,0,2.5621E-04
282734379,1,0,0,0,0,2,127,0,31,107,0,7.8740E-03
281099451,1,0,0,7,8,1,36828,0,4109,1006,-0.291666666666667,2.7153E-05
282557265,1,0,1,0,0,1,1590,0,21,39,-0.1,6.2893E-04
282543498,1,0,0,0,0,2,21964,0,3973,2236,0.133333333333333,4.5529E-05
282390088,1,0,0,0,0,2,9161,0,835,601,-0.475,1.0916E-04
282335488,1,0.333333333333333,0.333333333333333,11,3.66666666666667,1,19926.3333333333,0,652,619,0,5.0185E-05
282311693,1,0,0,0,0,1,1360,0,79,86,0,7.3529E-04
282133249,1,0,0,0,0,1,16863,0,453,566,0,5.9301E-05
281969201,1,0,0,0,0,1,28674,0,1084,1073,0,3.4875E-05
281912753,1,0,0,0,0,2,10293,0,755,913,0,9.7153E-05
281854613,1,0,0,0,0,2,2005,0,183,578,-0.225,4.9875E-04
281686218,1,0,0,1,0,2,31941,0,1016,1892,-0.4,3.1308E-05
281591919,1,0,0,0,0.111111111111111,2.11111111111111,19229,0,16902.6666666667,18588.6666666667,0,5.2005E-05
281574433,1,0,0,0,0,1,3696,0,103,175,-0.0333333333333333,2.7056E-04
281412221,1,0,0,0,1,2,271,0,98,193,0,3.6900E-03
281401059,1,0,0,0,0,2,6363,0,99,230,0,1.5716E-04
281288539,1,0,0,1.66666666666667,1,1,2550,0,113,226,-0.0194444444444444,3.9216E-04
281280165,1,0,1,9,2,2,42772,0,1734,1421,-0.2,2.3380E-05
281196193,1,0,0,0,0,1,3479,0,110,89,0,2.8744E-04
285493238,1,0,0,0,0,1,272,0,20,85,0,3.6765E-03
285523518,1,0,2,0,0,1,14668,0,3020,689,0,6.8176E-05
279255938,1,0,1,0,0,1,2246,0,1851,172,0,4.4524E-04
289264257,1,0,0,0,0,1,1559,0,197,416,-0.5,6.4144E-04
290000051,1,0,0,0,0,2,3789,0,120,198,0.2,2.6392E-04
289981406,1,0,0,2,0,1,939,0,41,55,0.25,1.0650E-03
289876697,1,0,2,0,0,1,463,0,88,170,-0.4,2.1598E-03
289787164,1,0,0,0,0,2,8715,0,198,226,-0.1625,1.1474E-04
289685952,1,0,0,6,12,1,36905,0,1272,2000,0,2.7097E-05
289477840,1,0,0,0,0,2,10856,0,1211,1976,-0.5,9.2115E-05
289352032,1,0,0,0,0,1,8853,0,637,1369,-0.1,1.1296E-04
289309713,1,0,0,0,0,2,152,0,15,162,-0.2,6.5789E-03
289242244,1,0,1.5,1.5,1.5,1,143262,0,29648.5,781,0.35,6.9802E-06
285687218,1,0,0,0,0,2,178,0,23,91,-0.0125,5.6180E-03
289084923,1,0,1,0,0,1,8770,0,193,855,0,1.1403E-04
289006046,1,0,1,0,0,1,1074,0,63,108,0.7,9.3110E-04
288999355,1,0,0,0,0,1,901,0,804,213,0.445454545454546,1.1099E-03
288791720,1,0,0,0,0,2,29750,0,787,643,-0.5,3.3613E-05
288791109,1,0,0,1,0,2,4619,0,77,288,0,2.1650E-04
288755234,1,0.333333333333333,0.333333333333333,37.6666666666667,9,1.33333333333333,101079.666666667,0,29787.6666666667,1408.66666666667,0,9.8932E-06
288727460,1,0,1,0,0,2,10173,0,241,872,0,9.8299E-05
288579703,1,0,1,0,0,1,2227,0,33,14,0.433333333333333,4.4903E-04
290224266,1,0,0,0,1.5,1.5,7452,0,280,308,0.2625,1.3419E-04
290292870,1,0,0,0,0,1,243,0,43,385,0,4.1152E-03
290350396,1,0,0,0,1,1,1401,0,23,22,0,7.1378E-04
290387782,1,0,0,0,0,4,27709,0,139,338,0,3.6089E-05
292002656,1,0,0,1.66666666666667,1.33333333333333,1.66666666666667,4045.66666666667,0,75,112,0.233333333333333,2.4718E-04
291998429,1,0,0,0,0,1,546,0,327,2009,0,1.8315E-03
291973500,1,0,1,0,2,1,57841,0,726,356,-0.2,1.7289E-05
